Gene,LFC,P_value,CGC,RelevanceScore,ProtoOncogene,TumorSuppressor,PPIs,Z_score
HSPE1,-1.148850725,7.17565e-11,,4.506869316,,,3.0,1.604
ARID5B,-1.160671849,3.96989e-12,,4.51967907,,Yes,3.0,1.526
RRAS2,-1.162888351,0.000630799,,19.50300407,Yes,,4.0,1.613
FEN1,-1.189030356,0.013346775,CGC,9.647533417,,,17.0,2.323
EBF1,-1.189537938,0.004096054,CGC,,,,10.0,1.809
IL21R,-1.192629598,1.25238e-05,CGC,3.476853371,,,14.0,1.546
SP140,-1.202461539,0.000133017,,,,Yes,2.0,1.166
NCOR1,-1.209296599,5.68473e-11,CGC,27.86626053,,Yes,17.0,2.579
PATZ1,-1.235135389,5.79347e-06,CGC,4.500115395,,,2.0,1.387
RPTOR,-1.237552058,9.55415e-05,,12.55364609,Yes,,7.0,2.453
ICOSLG,-1.269610217,0.013017267,,6.829428673,Yes,,8.0,2.12
POU2AF1,-1.269966939,2.83463e-08,CGC,,,,7.0,1.427
PML,-1.418921241,9.05326e-06,CGC,16.79055214,,Yes,12.0,1.983
CARS,-1.429039877,0.002732261,CGC,,,,,
CD79A,-1.453124176,3.71965e-07,CGC,14.77335358,Yes,,13.0,2.045
NBEA,-1.469866648,0.003027064,CGC,,,,,1.073
GATA3,-1.473079682,2.98427e-08,CGC,34.0852623,Yes,Yes,29.0,3.198
IFNG,-1.508960791,0.013316129,,39.47425079,,,27.0,3.393
HIP1,-1.616022951,3.0696e-07,CGC,15.88494778,,,2.0,0.976
NCKIPSD,-1.687935798,6.65237e-05,CGC,,,,1.0,1.162
SRSF2,-1.688888733,1.57443e-06,CGC,13.15056038,,,5.0,2.167
ERBB2,-1.699821525,3.41452e-05,CGC,112.6754608,Yes,,35.0,4.0
ERBB2,-1.699821525,3.41452e-05,CGC,112.6754608,Yes,,35.0,4.0
TCL1A,-1.728640184,0.000321218,CGC,11.03823757,Yes,,5.0,1.913
CTLA4,-1.763895282,1.85681e-05,,31.76713562,Yes,,18.0,3.348
TNFRSF17,-1.815976767,0.002246732,CGC,8.820757866,Yes,,10.0,1.98
PTCH1,-1.830958635,5.09428e-06,CGC,100.6214066,,Yes,10.0,2.49
MERTK,-1.840212516,0.000489007,,6.628122807,Yes,,3.0,2.154
MERTK,-1.840212516,0.000489007,,6.628122807,Yes,,3.0,2.154
ID3,-2.45996558,8.19117e-05,CGC,13.06519604,,Yes,6.0,2.048
CAMTA1,-2.728999126,0.001796543,CGC,,,,1.0,1.432
ARHGEF10,-2.834439128,0.009728982,CGC,4.303412914,,,1.0,1.261
MDS2,-2.888709058,0.008172449,CGC,2.628021717,,,,
FGF9,-4.238987209,0.009313232,,15.7125349,Yes,,11.0,2.773
ZBTB20,-4.427155413,0.005047371,,3.989481211,Yes,Yes,,1.424
HSPA1L,-4.502133114,0.00357108,,4.397822857,,,6.0,1.332
FAM131B,-4.643993134,0.00287023,CGC,1.89917028,,,,0.595
HLA-B,-5.792849531,0.000329449,,25.12493896,,Yes,6.0,2.086
DSP,-7.123446991,0.001866003,,17.64849091,,,1.0,1.942
REXO1L2P,-7.166371475,2.23771e-06,,,,,,
TRAPPC10,-7.188196757,5.27966e-11,,1.4197824,,,,1.083
TREML5P,-7.21984939,0.000255052,,,,,,
RPAIN,-7.225250836,1.35333e-05,,1.88596642,,,,
CDK2,-7.252065787,1.53189e-06,,33.45591736,,,26.0,3.205
ATF2,-8.040478132,1.2286e-07,,8.478125572,,,10.0,1.877
B4GALT3,-8.67296175,1.61081e-06,,2.341327429,,,,1.556
XIST,-12.33011846,3.59734e-05,,57.2949295,,,,2.523
