ID	Gene.Symbol
RHOA	43.69631195
CD274	43.65977478
CDKN2B	43.59748077
EZH2	43.57718277
MIR195	43.50203705
SNHG12	43.41491699
LNMICC	43.37678528
MIR27A	43.37041092
MIR31HG	43.34529877
MIR222	43.33969879
NTRK1	43.19122314
FANCA	43.14905167
HAGLR	43.12222672
MIR223	42.68937302
CXCR4	42.63110352
DHFR	42.47948837
ERCC5	42.46197128
ATRX	42.33196259
IL2	42.30664063
LINC-ROR	42.05993652
MMP2	42.04151154
MAX	42.04070663
MMP9	41.79374695
IL1RN	41.74217987
NNT-AS1	41.53108215
PANDAR	41.48859406
WRN	41.37881088
MIR18A	41.21467209
HOTTIP	41.20027542
TP53COR1	41.15586853
PTPN11	41.07109451
PIK3CG	41.02283096
MIR200A	40.8983078
FASLG	40.85921097
MIR22	40.79615784
MIR106B	40.76596832
GSTM1	40.63886642
TERC	40.56449127
PTGS2	40.4750061
RNY3	40.18819427
RAF1	40.05587387
IGF2	40.00851822
MIR203A	39.76642227
MIR146B	39.67749405
MIR140	39.59945297
IFNG	39.47425079
MIR93	39.20383835
MIR320A	39.18159866
RNASEL	39.16695023
MIR15A	39.11608505
CXCL8	39.06676102
U2AF1	38.86448669
RASSF1	38.76267624
MIR200C	38.75820541
MIR183	38.65278625
KCNQ1OT1	38.486866
MTHFR	38.43419647
ZFAS1	38.42591476
MKI67	38.36382294
IL10	38.26190186
MIR224	38.23510361
SMARCE1	38.19888306
ERCC4	38.15666962
MUC1	38.10089874
MIR34C	38.05778503
MIRLET7D	38.01247406
BLACAT1	37.87075043
IRF1	37.81430817
MIR148A	37.75337219
MIR99A	37.74462509
MIR191	37.67079926
IGF1R	37.60703278
RAD51B	37.59406662
KDR	37.56591797
EGF	37.47766113
IDH2	37.38526154
NPTN-IT1	37.38225555
BIRC5	37.28253555
MIR100	37.28107834
MIR150	37.27571487
XRCC3	37.27192307
RNY1	37.25674438
HNF1B	37.25205231
MIR10B	37.17905045
CASP3	37.15221786
MGMT	37.12931824
MIR106A	37.12741089
DANCR	37.05204773
ITGB1	36.95811081
SOD2	36.89082336
FHIT	36.76547241
MIR29C	36.68751526
FGFR4	36.52200317
GALNT12	36.51429367
GSTP1	36.42257309
MIR23A	36.40920258
SMAD3	36.28137207
NFKB1	36.27482224
MIR98	36.22967911
MIR199A1	36.16591263
PRKDC	36.15341568
EGFR-AS1	36.11904144
MIR96	36.03780365
FLT1	36.01234818
IGF1	35.94819641
CASC8	35.9380188
RARB	35.9303894
XRCC1	35.92867661
MIR133B	35.83242035
SMAD2	35.77562714
CDK12	35.72172165
MIR30E	35.71116257
NTRK2	35.60762405
MIR127	35.54105759
MIR335	35.53125381
MIRLET7G	35.35547638
NRG1	35.2648468
KRT19	35.24821854
CD44	35.05075836
CYTOR	35.02647781
MIAT	34.97393799
MIR149	34.95437241
SMAD7	34.91736603
MIR27B	34.81946564
NTRK3	34.81437683
HNF1A	34.69374847
GATA2	34.60995483
MIR142	34.50187683
TGFBR1	34.48093414
PGR	34.45826721
MIR15B	34.45710754
MIR139	34.43621063
PRKN	34.29116058
MIR373	34.2689743
MIR181A1	34.25793076
LINP1	34.16491699
JAK2	34.13234329
KMT2D	34.09803772
GATA3	34.0852623
MIR192	34.03979111
SOX9	33.86930084
CYP1A1	33.8113327
GSTT1	33.69980621
FANCL	33.52536774
MIR424	33.50692368
FLT4	33.48748779
CDK2	33.45591736
MIR497	33.44017029
PCA3	33.42620468
ERCC1	33.37768173
TP63	33.35649872
RMRP	33.34321594
POLR1HASP	33.28927612
MIR451A	33.27662277
MIR196B	33.26646805
ZNF667-AS1	33.24642563
PARP1	33.22955704
WWOX	33.12736893
XPC	33.01763535
MIR204	32.96289444
SETD2	32.90799713
CDK6	32.891716
MIR125B1	32.86720657
LUCAT1	32.83959961
ABCB1	32.81714249
MIR19A	32.76244736
PPM1D	32.63565445
FANCE	32.56997299
MIR25	32.51295853
ABCC1	32.50281906
MIR122	32.49187469
YAP1	32.42881393
DNMT3A	32.42135239
SPOP	32.41333389
ABRAXAS1	32.3407402
NKX2-1	32.31359482
GLI1	32.29988098
DCC	32.28478622
FOXO1	32.17910004
MIR199B	32.1647644
FANCI	32.09498596
ELAC2	31.95578384
PALLD	31.91927719
DNMT1	31.9168644
TYMS	31.84812164
PPP2R1A	31.79305077
CTLA4	31.76713562
AXIN1	31.73323441
CD82	31.70734215
MIR9-1	31.58672714
SOX2	31.54757881
SNHG1	31.52807999
AFAP1-AS1	31.40946198
DPYD	31.40597916
VEGFC	31.34406281
ZEB1	31.33797646
MIR101-1	31.25861359
FANCF	31.19649124
RECQL	31.1272831
ROS1	31.00296021
MIR24-1	30.86010933
MIR215	30.85037422
MIR100HG	30.80724335
CEBPA	30.78059769
LRP1B	30.56944656
MIR7-3HG	30.48664665
PCNA	30.40513229
SOX2-OT	30.37663078
ENG	30.28125381
PDGFRB	30.23516846
MAP3K1	30.22680473
MITF	30.20474052
TUSC8	30.1852684
GPC3	30.18211937
MT-CYB	30.12695122
MIR29B2	30.04153633
XPA	29.92897797
FN1	29.83957481
SLC16A1-AS1	29.78419685
KRT20	29.74356461
EPHB2	29.71146202
TSG101	29.70096016
MIR26A1	29.68338966
DLC1	29.67751884
TLR4	29.64003372
PDCD1	29.53375626
KRT7	29.53056717
CEACAM5	29.52179718
TLR2	29.49843788
LOC100507346	29.435812
MIR375	29.41451263
BTK	29.39097404
STAT1	29.35964203
CASC9	29.35679436
MIR10A	29.34993744
TP73	29.33551788
KLF6	29.3133297
IGFBP3	29.24679756
MIR132	29.1926651
HLA-DRB1	29.1922226
ERCC6	29.14012527
MIR494	29.12682915
MIR26B	29.02500343
SHC1	28.99786377
MCL1	28.95433426
RHBDF2	28.92213631
CTAG1B	28.91642189
CXCL12	28.80423737
TCF7L2	28.72612381
PCAT6	28.66931725
NQO1	28.63124084
CDKN1C	28.63114166
LOC130062899	28.61001205
CASC15	28.60375977
BCL2L1	28.58164978
FALEC	28.56004906
MAP2K4	28.46710396
CSF1R	28.45887947
MIR130A	28.41727066
E2F1	28.38474655
MIRLET7A1	28.37983894
PTENP1	28.30865479
DDR2	28.23022652
TMPOP2	28.21551514
MAPK3	28.21013451
CRP	28.19143677
ROCK1	28.18931389
SLC2A1	28.14199448
CYP19A1	28.11500931
PAX8-AS1	28.08987617
GSK3B	28.05535698
KEAP1	28.0464592
MAP2K2	28.04356766
CDK1	27.98592186
AXL	27.95504379
CCDST	27.9249382
FOXA1	27.9204731
NCOR1	27.86626053
LOC130001603	27.86445618
PTK2	27.8591156
MIR181B1	27.84105492
MIR296	27.83227539
MIR32	27.80937386
EWSAT1	27.78440285
MIRLET7E	27.67943764
TSHR	27.63221741
KLK3	27.62342262
MIR331	27.59985924
MYO18B	27.55966949
LINC01133	27.54430771
RELA	27.53957176
MIR128-2	27.53374481
PLAU	27.50693703
MMP1	27.48030472
TYMP	27.47862244
MIR338	27.47249222
TNFRSF10B	27.42786598
ABCG2	27.41716957
AKT2	27.41623878
LOC107303340	27.40015793
HMMR	27.37922287
LMNA	27.37121964
MIR181A2	27.31337357
NFKBIA	27.30633545
IL4	27.27172852
ERCC3	27.25857353
SNHG7	27.21145248
MIR152	27.21013451
NME1	27.15125275
SP1	27.06592178
EXT2	27.04817009
B2M	27.03944588
LOC110806263	27.02678299
MIR16-1	27.00069809
CBL	26.98364067
MIR185	26.96121025
CARD8-AS1	26.95567322
FGF2	26.92313004
PHB1	26.81818008
HGF	26.79712486
HLA-DQB1	26.78063583
TMPRSS2	26.75261497
MIR342	26.74560928
XPO1	26.69293785
CCL2	26.68441391
SNHG5	26.68068504
MIR34B	26.6637001
MIR92A1	26.63078308
NOTCH2	26.6282444
MED12	26.60509872
MIR107	26.58308411
CASP9	26.5706749
MIR9-3HG	26.55285263
HNF1A-AS1	26.54751778
SF3B1	26.54012871
PPP2R1B	26.52939224
KDM6A	26.51189232
IL7R	26.48766327
DNMT3B	26.42065048
CCND3	26.36907196
TNFSF10	26.36101723
MIR216A	26.35297394
MIRLET7I	26.33159447
ESR2	26.31349564
TWIST1	26.29376984
MIR212	26.24028778
BCL10	26.18963432
KLLN	26.10376358
ABL1	26.09652328
HLA-A	26.09107208
HFE	26.08537292
MIR211	26.07683182
BUB1	26.07420731
MIRLET7F1	26.0681057
DDB2	26.06469154
VDR	26.05239868
HTATIP2	26.02164841
MMP14	25.98068237
NOTCH3	25.9592247
MAPK8	25.93000221
TOP1	25.84102058
MIR124-1	25.73625183
CASR	25.68741989
HSP90AA1	25.65139771
MIR498	25.61017227
TGFA	25.60767555
MIR206	25.60422516
DGCR5	25.60219765
IL1A	25.60180283
HSPB1	25.58101654
MIR423	25.5547657
OGG1	25.46977234
CBS	25.44713593
MIR429	25.42626572
MIR151A	25.41938591
GACAT3	25.3430748
SKP2	25.34097862
XIAP	25.32305717
CASC19	25.21403885
MMP7	25.2082386
PIK3CD	25.16887474
NPM1	25.15134048
SRA1	25.14199066
HLA-B	25.12493896
RARA	25.12197113
LINC01672	25.11994362
MAPK14	25.10766792
IL17A	25.08554077
NORAD	25.05737686
TIMP2	25.01627159
TOP2A	24.99110031
MTR	24.95659447
SOS1	24.95636177
CYCS	24.93984032
NOS2	24.92930794
MIR30B	24.92449188
SPINK1	24.91708565
MIR202	24.83466339
MIR324	24.81120682
ALB	24.80830002
LINC00511	24.79368591
CBR3-AS1	24.79164696
CSF3	24.78356552
ICAM1	24.7515564
JAK1	24.67928696
AKT3	24.6774044
MIR328	24.63099098
KMT2A	24.60251617
JAK3	24.56435013
MIR181C	24.53655243
CERNA2	24.53425407
CCND2	24.51683807
SEPTIN9	24.50793839
LEP	24.50532722
SNAI1	24.49646378
BCAR1	24.41963959
RAC1	24.41770935
CAV1	24.40950203
KDM3A	24.39958954
MIR483	24.34938812
LINC01101	24.26412201
APEX1	24.26254082
POLK	24.25465202
NAT2	24.23980904
SERPINB4	24.19353104
SPP1	24.17357635
WT1-AS	24.14682579
FOS	24.14113045
TP53BP1	24.12771988
CCNB1	24.103508
TIMP1	24.06110954
ETV6	24.02236176
CFTR	24.01790428
LINC02633	24.0138607
HDAC1	23.99053764
MUC2	23.98685074
STAT5B	23.90585136
MIR24-2	23.8738842
RSU1P2	23.86743736
MIR197	23.84561157
CTSD	23.79291153
CERNA3	23.75944328
GHET1	23.71183968
ERG	23.70471382
CASP10	23.64219666
EXT1	23.62082481
FOXM1	23.60685349
CSF1	23.59440231
DAPK1	23.58380127
INS	23.577631
TINCR	23.53189659
IL18	23.52447128
DLEU1	23.52310562
IFNA1	23.52149391
COMT	23.46607971
LNCRNA-ATB	23.42769432
MIR193A	23.36643791
ZEB2	23.36579132
VIM	23.35778809
PRF1	23.33670616
IL2RA	23.29961586
APBB3	23.27411461
TOE1	23.26283455
MIR339	23.20551109
MSMB	23.12872124
CREB1	23.12002373
MIR361	23.10885239
ZFHX3	23.07777977
CYP2A6	22.99436951
MIR499A	22.98722458
CSF2	22.96422005
BIRC3	22.9144249
MIRLET7A3	22.85953331
MAPK10	22.83848953
ADAR	22.83539581
KIF1B	22.83453751
MIR485	22.81759262
HSPA5	22.80711937
SOCS1	22.77063942
HDAC9	22.75498009
MIR130B	22.73176003
PRKCA	22.71107864
DROSHA	22.70615768
MIR425	22.69179535
CCNA2	22.6805172
CLPTM1L	22.63805771
FGF10	22.63510132
CDC42	22.61008072
MIR124-3	22.59047127
CDKN3	22.58591461
CTAG2	22.55653763
MIR486-1	22.55604935
HOXA-AS2	22.55504417
MIR128-1	22.53945351
TGFB2	22.53091431
TSPAN31	22.52745819
FOXO3	22.49775314
SOD1	22.45978546
WRAP53	22.45925903
PKM	22.45293808
RB1CC1	22.43704033
MIR181D	22.33635902
DMD	22.32560349
ODC1	22.31558609
MIR136	22.2963295
EPHB4	22.25367355
UHRF1	22.2289753
EGOT	22.22016907
MIR22HG	22.20170403
RECK	22.1902523
MIR503	22.14456177
IL33	22.13863182
BMP6	22.11487198
DELEC1	22.10809517
HIF1A-AS2	22.08560371
RUNX3	22.03000069
MEOX1	22.02734566
SERPINE1	22.02251625
MIR196A2	21.99858284
MIR193B	21.99654579
TG	21.99405861
KRT8	21.9873085
TIMP3	21.95664406
MIR92A2	21.94365692
CA9	21.94220734
EPO	21.87349319
CD4	21.79563141
MPO	21.75852394
MIR532	21.74915886
RPS20	21.71469498
ACTA2	21.66962624
MIR186	21.62765503
MIR377	21.61193275
KMT2C	21.60783768
SNHG6	21.60355186
CADM1	21.5850029
PPP2R2A	21.57602692
THBS1	21.5476265
BMP2	21.54164314
RINT1	21.52563858
MAD1L1	21.43027496
VEGFD	21.418396
MUC6	21.40630722
BSG	21.39530182
MIR148B	21.33897781
IFI27	21.33431625
MYCN	21.33350945
MIR663A	21.26027107
PLK1	21.23308945
COL3A1	21.21055031
MIR374A	21.18444061
CYP2E1	21.14744186
MNX1-AS1	21.13010597
MYB	21.12602615
SF3B2	21.07486534
WEE1	21.06515884
BAK1	21.01948929
BDNF-AS	21.00086594
PDGFB	20.97115326
MIR95	20.89860535
SNHG20	20.88915253
STAT5A	20.83045769
GNA11	20.82807922
FOXP3	20.81767654
POU5F1	20.81499863
SCARNA5	20.78551483
MIR135B	20.78128052
PTGS1	20.76285553
PREX2	20.70504379
EBAG9	20.6768074
ABCA1	20.67206001
LINC00958	20.65792084
MYD88	20.65380859
LINC00673	20.63511658
DKK1	20.63061523
MIR138-1	20.61700058
EGR1	20.61309624
PTPN3	20.58906555
TNFRSF10A	20.58024597
MIR144	20.56004524
MIR33A	20.55783653
HMGB1	20.55552292
LAMA5	20.55217552
TFF1	20.55186081
IGF2R	20.54495621
CD34	20.52012253
ZEB2-AS1	20.49576378
ACTB	20.46845436
SIRT1	20.46282959
EPB41L4A-DT	20.46093178
GJA1	20.45802498
MME	20.45676994
TRIM24	20.4445076
PAX1	20.4442234
KRT18	20.40973091
EPAS1	20.39951515
MIR502	20.39676857
DLEU2	20.39587975
MIR381	20.3799057
LEF1	20.37273407
EPOR	20.36820602
HMGA2	20.36071014
PRKACA	20.32479858
NSD1	20.28629112
EXOC2	20.25668716
GAPDH	20.24975014
TMX2-CTNND1	20.22443199
IL3	20.2177639
MIR4435-2HG	20.19906044
MIR675	20.15188599
LINC01234	20.13170815
ROBO1	20.12429428
SCUBE3	20.10826111
MIR184	20.08474922
FGF3	20.08071327
FEZF1-AS1	20.0502491
MAP3K7	20.03396416
COL1A1	20.02116013
CD8A	19.96900177
MIR511	19.96144867
FBN1	19.94032478
TLR9	19.94021606
SST	19.90160561
TRRAP	19.89367104
EDN1	19.88495255
FGF7	19.88118744
GNAQ	19.86868095
TFDP1	19.86611366
SNAI2	19.85813904
MMP3	19.84572411
CLU	19.83537102
BICDL3P	19.82497787
CRAT37	19.81495094
TET2	19.8010006
LIG4	19.75874901
DKC1	19.75080109
PTK2B	19.71535301
FASN	19.65965271
HLA-DQA1	19.63866043
CCL5	19.60429573
BDNF	19.55962372
CYP1B1	19.54783249
MYLK	19.53030777
RRAS2	19.50300407
ENO2	19.4943943
PIK3CB	19.49256706
MUC5AC	19.46201515
PAK4	19.45498085
CHD1	19.45402718
ABCC4	19.43746185
E2F4	19.42327309
INSR	19.42277908
XRCC5	19.40354919
PRSS1	19.40280533
FGF4	19.38631439
AURKB	19.38526726
MIR491	19.38428879
REST	19.35114288
MED1	19.34889603
LRRK2	19.34615135
FLNB	19.3440094
HABP2	19.31801987
ITGA5	19.30316734
LGALS3	19.29429817
TTK	19.29397583
PLCG1	19.25101089
MIR301A	19.24326324
PTCH2	19.21716881
ELANE	19.21670151
MIR28	19.20199013
ACE	19.18831825
CYLD	19.18648911
MIR302C	19.17718697
EXO1	19.17384911
IL7	19.14896393
EPHA2	19.13599396
CBFB	19.13316345
BID	19.13130379
HLA-G	19.1162796
PLA2G2A	19.10850525
SERPINA1	19.10554695
BMI1	19.10277748
TUBB	19.07575226
EIF4E	19.05209351
PAX5	19.04625893
NKX3-1	19.02145958
MIR134	19.01929855
MIR137	19.01575661
RXRA	18.9659729
MIR376A1	18.96109772
ETS1	18.95231819
CFLAR	18.93067741
MIR198	18.91701889
PIK3R2	18.91573143
SPARC	18.8932724
KLRK1	18.86889648
MIR370	18.84407425
JAG1	18.82566643
TFAP2A	18.82188606
NCOA3	18.80092239
HDAC4	18.79560089
CDC25A	18.79101181
THADA	18.7821064
BMP4	18.78072929
MIR196A1	18.78042603
MIR99B	18.75347137
TCF3	18.7313118
PLAUR	18.71980858
PRL	18.71461296
GEN1	18.71258354
GDF15	18.70089149
CD36	18.6883564
ITCH	18.68548775
SERPINB3	18.66987801
IKZF1	18.64933586
TNFRSF1A	18.64929008
CHUK	18.64365005
AREG	18.64162636
AHR	18.62149048
MPL	18.57749176
CCDC26	18.57345009
MIR378A	18.53927231
CDX2	18.53186417
BECN1	18.52614975
IFNB1	18.51935959
NOS3	18.50748825
MIR190A	18.49333954
MT-CO1	18.48766708
CD80	18.47581482
WNT5A	18.46046257
TRB	18.45765114
LTA	18.45236206
PRKCD	18.4299202
AATBC	18.41149902
TGFB3	18.40678215
MIR542	18.40413094
BCL6	18.39360428
IDO1	18.39271164
RAD54B	18.37116241
CTCF	18.34951019
CP	18.34142876
RPS6KB1	18.33876419
CTSE	18.33730698
CDKN2C	18.33715057
STAT6	18.32887268
AFP	18.28552437
PCGEM1	18.28417397
ANXA5	18.2772522
HEIH	18.23975563
EZR	18.21939087
LOC130002133	18.21490669
RUNX2	18.20795441
MDM4	18.19548607
LINC02605	18.18982315
JUP	18.18054581
MIR219A1	18.18032646
LDHA	18.17752647
DLL1	18.16266632
CALR	18.15776253
PTHLH	18.15420532
CYP1A2	18.10829353
CD28	18.10277176
GATA1	18.09731674
PTPRJ	18.09378433
NFKB2	18.07995224
PTPRD	18.07708931
CYP2D6	18.07083511
GFOD3P	18.06278419
MIR125B2	18.0463829
YY1	18.0419178
EPHA3	18.0337162
ELAVL1	18.02316856
GADD45A	18.01681709
CDH2	18.00112915
CD40LG	17.99202919
PAK1	17.99074745
NDRG1	17.98292542
CYP3A4	17.94450951
PTPN12	17.94361115
BIRC2	17.93852234
MECOM	17.92390442
KLF4	17.92012405
HK2	17.91338348
ETV4	17.90243149
IGF2-AS	17.87963486
CDH13	17.83953476
CALCA	17.83929825
EWSR1	17.81975174
DDIT3	17.81702805
KITLG	17.81494522
MIR103A1	17.79636765
BRD4	17.79502487
FUS	17.79237366
CCR7	17.76677895
XRCC6	17.75833321
LOC130004614	17.74552917
AGO2	17.74232864
MIF	17.74085617
HSPA4	17.73935509
SQSTM1	17.73752785
MFN2	17.68020058
USP28	17.6769886
MIR29B1	17.67401123
AMER1	17.6606636
PSCA	17.65074539
DSP	17.64849091
HMOX1	17.6175518
MIRLET7F2	17.60330963
TNFRSF8	17.60105515
CAGE1	17.60033226
CD40	17.53961182
MIR495	17.53691101
MAML1	17.52657509
RPS27A	17.52627563
XBP1	17.51895714
TINF2	17.46707916
MIR337	17.45169449
H3-3A	17.44889259
FANCB	17.43527794
TAP1	17.43173981
LGALS1	17.42267609
NEK2	17.42021179
NEK9	17.4180603
IL13	17.38295555
GPC6	17.35936165
CYSLTR1	17.35656738
CDC25C	17.354002
HSPD1	17.35059166
HNRNPK	17.33730316
SNHG14	17.33396721
IL5	17.33306313
GDF3	17.32448959
CHGA	17.31834412
LDLR	17.30161667
HAGLROS	17.3008976
LOC130004273	17.29893112
F3	17.29657745
APAF1	17.26375198
G6PD	17.26351166
ANXA2	17.26284981
ADA	17.24808121
IRS1	17.24306679
UGT1A1	17.2227211
TFRC	17.21832657
TEK	17.21735573
ALDH2	17.19853973
HOTAIRM1	17.19619751
NLRP3	17.19228363
APOE	17.18998528
DIABLO	17.14558792
FOXE1	17.13716698
OPCML	17.13418961
PAX8	17.1227417
FAN1	17.0860939
IGFBP5	17.07590103
BCL2L11	17.06875229
SOD2-OT1	17.05340004
AKAP9	17.03690529
MIR218-2	16.9889698
CDC27	16.98594666
PECAM1	16.96649742
RIPK1	16.9656868
KRT5	16.95558548
BMP7	16.95504951
ST14	16.95021439
PARD3	16.9390049
NKILA	16.9339962
HTR2C	16.91740417
SYNE1	16.91390419
NRP1	16.89451218
PROM1	16.87118721
NGF	16.84882164
TKT	16.84339333
DNM3OS	16.83954239
POU5F1B	16.8332386
LZTS1	16.83140564
MIR449A	16.82672691
DDX3X	16.81995201
TMEM238L	16.8175602
TYK2	16.8119297
KIR3DL1	16.80538177
RHO	16.80149269
TUBB3	16.80067825
RAD21	16.79998779
PML	16.79055214
GFAP	16.77401161
CD70	16.77020454
FADD	16.75947762
LINC00473	16.72122383
SOCS3	16.71672821
MIR372	16.70655823
MIR16-2	16.69169807
ALDH1A1	16.69060135
LPAR2	16.66759109
BSCL2	16.66415596
ITGAV	16.66205788
IRF4	16.65418243
RSPO2	16.64582253
ENO1	16.6360054
YWHAE	16.61903191
MIR452	16.60621262
BAG1	16.59682465
GSN	16.59282303
PDCD4	16.57819557
HSPA1A	16.5780468
FOLH1	16.55776978
ALDOA	16.54997253
RMST	16.53469849
YTHDC2	16.50716591
PHB2	16.50265884
ING1	16.50199127
MAGI2	16.47383499
APOB	16.46320724
FSCN1	16.45655823
KCNN3	16.43758774
POSTN	16.43718147
CTTN	16.43588638
BCR	16.41383362
ID1	16.41043472
MYH11	16.39468002
MSLN	16.39319801
TNFSF11	16.37124825
EDNRA	16.36870956
MIR20B	16.35567284
IL6R	16.35474968
CUBN	16.34876442
CXCL1	16.34333229
CT45A5	16.34203339
NFATC1	16.33779335
KRT14	16.31486511
F2	16.31264114
INHBA	16.31007767
KDM1A	16.30855751
SPEN	16.30817795
IGFBP1	16.30468559
IFNA2	16.29843903
IQANK1	16.29483414
LETMD1	16.29384232
E2F3	16.27762794
FPR1	16.27751541
PDK1	16.2769413
LINC00941	16.26037216
EEF1A1	16.23989105
NOG	16.23917389
MUC4	16.20666504
SUZ12	16.18136597
SHH	16.17591667
FOXP1	16.16391373
HDAC6	16.16241646
MIR432	16.14422226
MAPT	16.14332581
YBX1	16.10144424
TTR	16.08103371
MCM3	16.07999992
ATF3	16.0730381
RUBCNL	16.0720768
PDCD1LG2	16.0562439
WNT1	16.05180931
MIRLET7A2	16.03027725
RUNX1T1	16.02207375
HDAC2	16.02185631
GRB2	16.00296783
NTN4	15.99056625
CTSB	15.98202515
LNC-LBCS	15.9814024
DDR1	15.94316864
PRKD1	15.93725491
MIR376C	15.93326759
HBEGF	15.93135452
KLC1	15.92545033
CDH3	15.92025471
ATG13	15.91961384
IRAK4	15.91920376
MIR129-2	15.91746044
BLCAP	15.91350937
SOX4	15.90081406
GFRA3	15.89964485
MMP11	15.89534283
TRPM3	15.89526367
ANGPT2	15.89028072
HIP1	15.88494778
CASP1	15.87374687
GRP	15.86348629
SBDS	15.85983086
TRIP12	15.84299469
GPER1	15.83717823
ITIH5	15.8270874
GRN	15.8198576
FAP	15.81661987
SGK1	15.7942667
ATP7B	15.77685356
CLDN7	15.75898361
S100A4	15.74494076
ADIPOQ	15.74378395
TNFRSF11A	15.73972321
AIFM1	15.73708344
RPL34-DT	15.73470402
LOX	15.73290062
FGF9	15.7125349
HPSE	15.71022415
ATP2B4	15.70709229
HNF4A	15.7061367
DDX41	15.7039938
KAT7	15.69134617
RIPPLY2	15.673316
MTDH	15.66975689
PCBP2-OT1	15.66429806
POMC	15.66166878
COPS6	15.6514225
CTNND1	15.63717175
TBX3	15.62995529
FOSL1	15.6219244
SYP	15.61127472
